epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4222,0,17.4282,0,0,0,0,0,0,46.386,0,0.00018,0.00018,0.00018
2,25.8393,0,16.0993,0,0,0,0,0,0,46.5763,0,0.000364952,0.000364952,0.000364952
3,37.206,0,14.3402,0,0,0,0,0,0,49.357,0,0.000534064,0.000534064,0.000534064
4,48.611,0,12.7239,0,0,0,0,0,0,45.2994,0,0.000687336,0.000687336,0.000687336
5,59.7184,0,11.7764,0,0,0,0,0,0,33.6517,0,0.000824768,0.000824768,0.000824768
6,70.644,0,10.9552,0,0,0,0,0,0,94.2447,0,0.00094636,0.00094636,0.00094636
7,81.8627,0,10.202,0,0,0,0,0,0,22.7637,0,0.00105211,0.00105211,0.00105211
8,94.376,0,9.62955,0,0,0,0,0,0.00012,22.2046,2e-05,0.00114202,0.00114202,0.00114202
9,105.858,0,9.09157,0,0,0,0,0,0.00029,24.1612,5e-05,0.0012161,0.0012161,0.0012161
10,117.553,0.08268,8.64793,0.01115,0,0,0,0,5.75173,10.7842,0.39582,0.00127433,0.00127433,0.00127433
11,129.007,0.78785,8.83859,0.13168,0,0,0,0,3.90139,284.024,0.22539,0.001208,0.001208,0.001208
12,140.338,0.18457,8.08066,0.03756,0,0,0,0,1.89787,14.1964,0.12388,0.0011288,0.0011288,0.0011288
13,151.624,0.09556,7.69675,0.01198,0,0,0,0,1.31521,7.63967,0.07584,0.0010496,0.0010496,0.0010496
14,162.853,0.00359,7.19864,0.00037,0,0,0,0,0,100514,0,0.0009704,0.0009704,0.0009704
15,173.96,0.3328,7.17488,0.04666,0,0,0,0,0,2160.76,0,0.0008912,0.0008912,0.0008912
16,185.136,0.42189,7.0156,0.0628,0,0,0,0,0,14.4209,0,0.000812,0.000812,0.000812
17,196.334,0.15253,6.48959,0.01852,0,0,0,0,0,17.5151,0,0.0007328,0.0007328,0.0007328
18,207.412,0.61197,6.64455,0.07908,0,0,0,0,0.16567,15.3642,0.011,0.0006536,0.0006536,0.0006536
19,218.361,0.65042,6.48678,0.08108,0,0,0,0,2.29671,17.43,0.18202,0.0005744,0.0005744,0.0005744
20,229.4,0.35957,6.17418,0.066,0,0,0,0,2.27637,16.5007,0.1574,0.0004952,0.0004952,0.0004952
21,240.383,0.39415,6.06786,0.07316,0,0,0,0,2.89701,16.6407,0.20161,0.000416,0.000416,0.000416
22,251.464,0.42493,5.96684,0.05506,0,0,0,0,3.56946,17.8187,0.32372,0.0003368,0.0003368,0.0003368
23,262.595,1.20899,6.58659,0.19206,0,0,0,0,3.66769,17.7974,0.32713,0.0002576,0.0002576,0.0002576
24,273.503,0.04738,5.53709,0.0054,0,0,0,0,3.76348,17.6845,0.30294,0.0001784,0.0001784,0.0001784
25,284.584,0.43146,5.79204,0.0577,0,0,0,0,3.63468,17.497,0.27664,9.92e-05,9.92e-05,9.92e-05
1,330.251,3.01494,1.96639,1.05358,0.36024,0.31943,0.21277,0.06582,2.62341,2.38954,0.97923,0.000665375,0.000665375,0.000665375
2,635.942,2.91035,1.69904,1.02706,0.42273,0.32439,0.238,0.07151,2.61625,2.04613,0.97066,0.00131885,0.00131885,0.00131885
3,935.834,2.87514,1.66522,1.02051,0.45885,0.37852,0.28807,0.08615,2.60327,1.85776,0.97715,0.00195913,0.00195913,0.00195913
4,1246.44,2.79109,1.63149,1.00792,0.42078,0.38258,0.28109,0.09406,2.52932,1.52624,0.95012,0.0019406,0.0019406,0.0019406
1,599.923,3.02579,2.05584,1.08599,0.45635,0.50085,0.37064,0.11517,2.59323,1.45087,0.99876,0.000398394,0.000398394,0.000398394
2,1176.9,2.80483,1.64184,1.0122,0.28384,0.39157,0.2114,0.0638,2.70314,1.87747,1.01256,0.000782585,0.000782585,0.000782585
3,1730.44,2.82983,1.61981,1.00508,0.42091,0.4843,0.35344,0.11022,2.53879,1.62237,0.98698,0.00115094,0.00115094,0.00115094
4,2299.21,2.7778,1.58909,0.99916,0.36238,0.45216,0.29745,0.09009,2.65356,1.63381,0.98582,0.00150345,0.00150345,0.00150345
5,2863.93,2.75711,1.59216,1.00014,0.43531,0.51091,0.38447,0.12414,2.52377,1.53113,0.98453,0.00184012,0.00184012,0.00184012
6,3420.14,2.74348,1.56994,0.98542,0.3771,0.52065,0.31017,0.09879,2.54262,1.69852,0.98498,0.001802,0.001802,0.001802
7,4026.42,2.66078,1.54938,0.98856,0.39603,0.47709,0.35679,0.11894,2.49728,1.55289,0.97572,0.0017624,0.0017624,0.0017624
8,4641.36,2.65035,1.55822,0.99703,0.4404,0.53703,0.40799,0.13423,2.48813,1.45878,0.97589,0.0017228,0.0017228,0.0017228
9,5314.37,2.6685,1.53235,0.97736,0.40843,0.50563,0.35909,0.11674,2.47888,1.57875,0.96835,0.0016832,0.0016832,0.0016832
10,5874.26,2.66325,1.52036,0.96919,0.50275,0.54214,0.47974,0.16974,2.40159,1.39231,0.96479,0.0016436,0.0016436,0.0016436
11,6463.42,2.61405,1.49455,0.97825,0.47906,0.56227,0.47061,0.1687,2.35918,1.38168,0.95933,0.001604,0.001604,0.001604
12,7007.87,2.65056,1.49344,0.96603,0.49388,0.5381,0.47628,0.16429,2.42058,1.4187,0.96567,0.0015644,0.0015644,0.0015644
13,7590.93,2.59431,1.48679,0.97587,0.46903,0.54205,0.4543,0.15712,2.3838,1.42865,0.95567,0.0015248,0.0015248,0.0015248
14,8173.49,2.58696,1.48313,0.9771,0.47756,0.56023,0.47262,0.16265,2.39285,1.39938,0.95607,0.0014852,0.0014852,0.0014852
15,8725.3,2.60251,1.46045,0.95856,0.49393,0.58915,0.47482,0.14587,2.4829,1.42791,0.97772,0.0014456,0.0014456,0.0014456
16,9304.73,2.55857,1.45803,0.97973,0.53832,0.56575,0.53629,0.19699,2.35702,1.32743,0.96164,0.001406,0.001406,0.001406
17,9854.56,2.57944,1.43962,0.96145,0.54997,0.57548,0.5326,0.18332,2.41262,1.32483,0.96553,0.0013664,0.0013664,0.0013664
18,10411.3,2.57925,1.45221,0.96274,0.5394,0.57038,0.52459,0.18588,2.36199,1.33613,0.95594,0.0013268,0.0013268,0.0013268
19,10984.5,2.53118,1.42036,0.95911,0.56725,0.58795,0.53853,0.18302,2.38272,1.33737,0.96861,0.0012872,0.0012872,0.0012872
20,11546.3,2.5333,1.43838,0.95889,0.5494,0.60117,0.56309,0.20906,2.29518,1.28283,0.95044,0.0012476,0.0012476,0.0012476
21,12110,2.52173,1.41156,0.94948,0.56535,0.58705,0.54757,0.19596,2.31512,1.33282,0.95392,0.001208,0.001208,0.001208
22,12684.7,2.53199,1.41651,0.94929,0.55562,0.57113,0.54168,0.1918,2.34481,1.30638,0.95606,0.0011684,0.0011684,0.0011684
23,13286.5,2.50979,1.42103,0.96426,0.55397,0.57999,0.55923,0.21132,2.28549,1.27791,0.95016,0.0011288,0.0011288,0.0011288
24,13864.9,2.49792,1.39862,0.94999,0.6051,0.60793,0.57518,0.20106,2.3549,1.29491,0.96741,0.0010892,0.0010892,0.0010892
25,14463.8,2.47855,1.39592,0.95945,0.59511,0.60733,0.58029,0.2074,2.30608,1.25723,0.95294,0.0010496,0.0010496,0.0010496
26,15098.8,2.43909,1.37643,0.95668,0.59065,0.60072,0.58972,0.22565,2.25772,1.24737,0.94605,0.00101,0.00101,0.00101
27,15682,2.44904,1.37766,0.95565,0.5765,0.60102,0.56366,0.20669,2.31731,1.26968,0.96049,0.0009704,0.0009704,0.0009704
28,16240.5,2.4765,1.38025,0.94883,0.60197,0.60907,0.59526,0.22137,2.31055,1.24383,0.95808,0.0009308,0.0009308,0.0009308
29,16780,2.46947,1.37064,0.94233,0.58625,0.59456,0.58637,0.23161,2.24245,1.25736,0.94522,0.0008912,0.0008912,0.0008912
30,17329,2.43868,1.35918,0.94673,0.62371,0.60868,0.60716,0.21968,2.29245,1.24183,0.95189,0.0008516,0.0008516,0.0008516
31,17911.8,2.42714,1.35777,0.95879,0.64821,0.61615,0.61388,0.22868,2.28054,1.22052,0.95134,0.000812,0.000812,0.000812
32,18462.8,2.43906,1.34873,0.9513,0.67106,0.61138,0.63966,0.23535,2.28746,1.21313,0.95643,0.0007724,0.0007724,0.0007724
33,19000.3,2.44448,1.35938,0.94869,0.65063,0.6216,0.62697,0.23062,2.27302,1.20935,0.95162,0.0007328,0.0007328,0.0007328
34,19558.4,2.41629,1.35031,0.95101,0.57352,0.59471,0.59288,0.23409,2.24409,1.27114,0.94217,0.0006932,0.0006932,0.0006932
35,20117.1,2.40437,1.34228,0.94916,0.61211,0.61544,0.61358,0.2278,2.26504,1.22757,0.94588,0.0006536,0.0006536,0.0006536
36,20656.6,2.43906,1.33026,0.94211,0.66543,0.62671,0.63833,0.24386,2.2477,1.19565,0.95337,0.000614,0.000614,0.000614
37,21205.2,2.43789,1.33103,0.94564,0.65815,0.61018,0.63827,0.24299,2.23051,1.18884,0.94291,0.0005744,0.0005744,0.0005744
38,21754.8,2.41523,1.32763,0.94241,0.6546,0.6229,0.63865,0.24779,2.23837,1.16859,0.94732,0.0005348,0.0005348,0.0005348
