epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.6969,4.76479,56.9644,0.90997,0,0,0,0,5.00015,9.91636,0.74064,0.00018,0.00018,0.00018
2,122.529,4.76414,15.0763,0.8301,0,0,0,0,4.97259,8.28915,0.61136,0.000372476,0.000372476,0.000372476
3,176.437,4.61476,11.1771,0.79135,0,0,0,0,4.72363,7.31722,0.62654,0.000557032,0.000557032,0.000557032
4,230.99,4.61825,7.00735,0.80112,0,0,0,0,4.71195,8.10216,0.66427,0.000733668,0.000733668,0.000733668
5,285.585,4.5365,6.77172,0.77677,0.00032,0.00094,0.00016,5e-05,4.57236,16.3932,0.66878,0.000902384,0.000902384,0.000902384
6,338.107,4.50289,6.32043,0.77288,0.00086,0.00251,0.00043,6e-05,4.57624,7.25412,0.67718,0.00106318,0.00106318,0.00106318
7,393.296,4.32651,5.25365,0.76451,0.00054,0.00157,0.00027,4e-05,4.68653,6.42871,0.68903,0.00121606,0.00121606,0.00121606
8,446.165,4.34413,4.51638,0.74374,0.00075,0.0022,0.00038,0.0001,4.75225,5.90003,0.68546,0.00136101,0.00136101,0.00136101
9,500.253,4.57802,6.73919,0.74286,0.00204,0.00596,0.00103,0.00018,4.65968,90.0019,0.68483,0.00149805,0.00149805,0.00149805
10,553.411,4.24142,4.65594,0.76273,0.00381,0.01098,0.00203,0.00049,4.48581,182.891,0.68085,0.00162716,0.00162716,0.00162716
11,605.685,4.31528,5.57069,0.7452,0.00441,0.01286,0.00269,0.00079,4.38193,4.24187,0.65271,0.001604,0.001604,0.001604
12,658.017,4.07186,5.8889,0.70852,0.00452,0.01318,0.00254,0.00072,4.35287,4.36989,0.62115,0.0015644,0.0015644,0.0015644
13,718.332,4.18365,4.42688,0.75641,0.00527,0.01537,0.00779,0.00317,4.43908,3.87754,0.63314,0.0015248,0.0015248,0.0015248
14,772.922,4.07212,6.11625,0.68692,0.0149,0.00973,0.00509,0.00264,4.45231,4.3585,0.63997,0.0014852,0.0014852,0.0014852
15,827.033,4.18204,4.63535,0.73223,0.00591,0.01726,0.00493,0.00161,4.44671,3.90993,0.64887,0.0014456,0.0014456,0.0014456
16,882.657,3.70148,4.78323,0.67885,0.04393,0.00847,0.00337,0.0008,4.65027,3.9677,0.66923,0.001406,0.001406,0.001406
17,936.294,4.25774,4.31537,0.75075,0.03236,0.00784,0.00406,0.00107,4.64656,4.11519,0.66858,0.0013664,0.0013664,0.0013664
18,988.318,4.24555,4.62443,0.74069,0.02294,0.01161,0.00863,0.00277,4.3997,4.27926,0.64629,0.0013268,0.0013268,0.0013268
19,1044.03,3.60787,4.42078,0.665,0.01744,0.01475,0.00496,0.00113,4.37843,8.60773,0.64495,0.0012872,0.0012872,0.0012872
20,1096.61,3.78343,4.76063,0.70891,0.03189,0.00973,0.00819,0.00283,4.33271,5.22392,0.64228,0.0012476,0.0012476,0.0012476
21,1151.26,4.12501,3.86765,0.72786,0.03893,0.01349,0.00946,0.00345,4.32442,4.97416,0.64034,0.001208,0.001208,0.001208
22,1207.06,4.12554,3.89037,0.75616,0.03059,0.00847,0.00311,0.00065,4.57269,4.29654,0.66921,0.0011684,0.0011684,0.0011684
23,1259.42,3.75721,4.53615,0.66687,0.00703,0.01632,0.00375,0.00086,4.51472,3.63767,0.66579,0.0011288,0.0011288,0.0011288
24,1311.4,3.95894,4.00885,0.74797,0.02486,0.00973,0.0086,0.0034,4.31916,3.96252,0.64872,0.0010892,0.0010892,0.0010892
