epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.354,0,17.4362,0,0,0,0,0,0,46.3622,0,0.00018,0.00018,0.00018
2,25.4519,0,16.1917,0,0,0,0,0,0,46.6924,0,0.000364952,0.000364952,0.000364952
3,37.2108,0.03178,14.5034,0.00781,0,0,0,0,0,52.0257,0,0.000534064,0.000534064,0.000534064
4,49.9714,0,12.9391,0,0,0,0,0,0,40.8994,0,0.000687336,0.000687336,0.000687336
5,61.8723,0,11.8719,0,0,0,0,0,0,33.9533,0,0.000824768,0.000824768,0.000824768
6,73.0632,0,11.0923,0,0,0,0,0,0,30.9577,0,0.00094636,0.00094636,0.00094636
7,84.1759,0,10.3968,0,0,0,0,0,0,23.9465,0,0.00105211,0.00105211,0.00105211
8,95.1524,2e-05,9.82654,1e-05,0,0,0,0,0,20.8148,0,0.00114202,0.00114202,0.00114202
9,106.12,0,9.29453,0,0,0,0,0,0,21.0207,0,0.0012161,0.0012161,0.0012161
10,117.086,0,8.84002,0,0,0,0,0,0,18.4887,0,0.00127433,0.00127433,0.00127433
11,127.999,0,8.4582,0,0,0,0,0,0,19.2469,0,0.001208,0.001208,0.001208
12,138.702,0,8.00553,0,0,0,0,0,0,19.634,0,0.0011288,0.0011288,0.0011288
13,149.508,0,7.58845,0,0,0,0,0,0,17.8011,0,0.0010496,0.0010496,0.0010496
14,160.399,0,7.31172,0,0,0,0,0,0,17.0164,0,0.0009704,0.0009704,0.0009704
15,171.435,0,6.99141,0,0,0,0,0,0,16.0441,0,0.0008912,0.0008912,0.0008912
16,182.585,0,6.70575,0,0,0,0,0,0,15.7128,0,0.000812,0.000812,0.000812
17,193.363,0,6.47231,0,0,0,0,0,0,15.4136,0,0.0007328,0.0007328,0.0007328
18,204.502,0,6.25233,0,0,0,0,0,0,15.6254,0,0.0006536,0.0006536,0.0006536
19,215.405,0,6.08913,0,0,0,0,0,0,15.6039,0,0.0005744,0.0005744,0.0005744
20,226.154,0,5.9135,0,0,0,0,0,0,15.5221,0,0.0004952,0.0004952,0.0004952
21,237.209,0,5.76438,0,0,0,0,0,0,15.8057,0,0.000416,0.000416,0.000416
22,248.12,0,5.64982,0,0,0,0,0,0,15.957,0,0.0003368,0.0003368,0.0003368
23,258.986,0,5.54062,0,0,0,0,0,0,15.3768,0,0.0002576,0.0002576,0.0002576
24,269.796,0,5.47747,0,0,0,0,0,0,15.084,0,0.0001784,0.0001784,0.0001784
25,280.672,0,5.42346,0,0,0,0,0,0,14.9246,0,9.92e-05,9.92e-05,9.92e-05
